project_url,project_name
https://github.com/apache/spark,apache / spark
https://github.com/apache/hadoop,apache / hadoop
https://github.com/jbhuang0604/awesome-computer-vision,jbhuang0604 / awesome-computer-vision
https://github.com/GSA/data,GSA / data
https://github.com/GoogleTrends/data,GoogleTrends / data
https://github.com/nationalparkservice/data,nationalparkservice / data
https://github.com/fivethirtyeight/data,fivethirtyeight / data
https://github.com/beamandrew/medical-data,beamandrew / medical-data
https://github.com/src-d/awesome-machine-learning-on-source-code,src-d / awesome-machine-learning-on-source-code
https://github.com/igrigorik/decisiontree,igrigorik / decisiontree
https://github.com/keon/awesome-nlp,keon / awesome-nlp
https://github.com/openai/gym,openai / gym
https://github.com/aikorea/awesome-rl,aikorea / awesome-rl
https://github.com/umutisik/Eigentechno,umutisik / Eigentechno
https://github.com/jpmckinney/tf-idf-similarity,jpmckinney / tf-idf-similarity
https://github.com/scikit-learn-contrib/lightning,scikit-learn-contrib / lightning
https://github.com/gwding/draw_convnet,gwding / draw_convnet
https://github.com/scikit-learn/scikit-learn,scikit-learn / scikit-learn
https://github.com/tensorflow/tensorflow,tensorflow / tensorflow
https://github.com/activeloopai/deeplake,activeloopai / deeplake
